domain,url,title,description,phones,emails,status,error
bazaltin.pro,https://bazaltin.pro/products/,Производство БСТВ базальтового супертонкого волокна в компании БазальтЭко,"Производство и продажа изделий из базальтового супертонкого волокна бств: холсты, картон, маты, плиты, огнезащита. Базальтовая теплоизоляция в промышленном и гражданском строительстве, теплоизоляция оборудования, вагонов, контейнеров.",,sigmau@mail.ru,success,
bazaltin.pro,https://bazaltin.pro/standards/,Нормы загрузки транспорта | БазальтЭко,Нормы загрузки транспорта при доставке заказов по РФ. Получите подробную консультацию и оформите заказ на сайте или по тел. +7 (34145) 47-115,,sigmau@mail.ru,success,
bazaltin.pro,https://bazaltin.pro/info/,Полезная информация | БазальтЭко,Полезная информация о базальтовых материалах на сайте производителя. 100% экологичность! Оперативное выполнение заказов. Доставка по РФ. Получите подробную консультацию и оформите заказ на сайте или по тел. +7 (34145) 47-115,,sigmau@mail.ru,success,
bazaltin.pro,https://bazaltin.pro/contacts/,"Базальтовые технологии, БазальтЭко – контакты, телефоны, карта проезда, форма обратной связи и заявки","Базальтовые технологии, БазальтЭко – контакты, телефоны, карта проезда, форма обратной связи и заявки на заказ базальтовых материалов. Оперативное выполнение заказов. Доставка по РФ.",+7 (34145) 5-25-76; +7 (34145) 4-71-15; +7 (34145) 5-25-73,sigmau@mail.ru,success,
bazaltek.ru,https://bazaltek.ru/contacts/office/,Офис,Завод Базальтек – предприятие с полным циклом производства продукции из супертонкого базальтового волокна премиум класса. Нашу продукцию используют по всей России и в СНГ +7 (3412) 77-20-65,8 (800) 222-15-88; +7 (922) 517-20-65; +7 (922) 660-65-25; +7 (800) 222-15-88; +7 (922) 502-62-57; +7 (982) 832-12-12,logist@bazaltek.ru; tender_bazalt@mail.ru; info@bazaltek.ru; order@bazaltek.ru,success,
bazaltek.ru,https://bazaltek.ru/pokupatelyu/,Покупателю,Завод Базальтек – предприятие с полным циклом производства продукции из супертонкого базальтового волокна премиум класса. Нашу продукцию используют по всей России и в СНГ +7 (3412) 77-20-65,8 (800) 222-15-88; +7 (800) 222-15-88,order@bazaltek.ru,success,
bazaltek.ru,https://bazaltek.ru/produkciya/,Продукция компании Базальтек по доступной цене,Продукция от завода Базальтек по доступной стоимости. В розницу и оптом. Чтобы узнать точную цену на Продукция оставьте заявку на сайте или позвоните по телефону: 8 (800) 222-15-88,8 (800) 222-15-88; +7 (800) 222-15-88,order@bazaltek.ru,success,
basaltech.ru,https://basaltech.ru/,"Завод базальтового волокна: прямой/трощёный ровинг, рубленное волокно","Производим базальтовый ровинг, рубленное волокно и микрофибру для бетона и композитов. ГОСТ/ТУ, стабильное качество, быстрая отгрузка по России.",+7 (929) 500 38 46; +7 (908) 291 92 72; +7 (929) 500-38-46,basaltech@mail.ru,success,
meltrock.ru,https://meltrock.ru/about/,"ООО ""Русский базальт"" Челябинск - производство базальтового волокна",В 2011 году компания «Русский базальт» запустила в  эксплуатацию завод по производству БНВ в Челябинске.,+7 (351) 725 74 40; +7 (912) 470 27 41,,success,
meltrock.ru,https://meltrock.ru/kontakty/,"ООО ""Русский базальт"" - производитель базальтового волокна в России",русский базальт,,sms@meltrock.ru; kaa@meltrock.ru; sob@meltrock.ru,success,
